Timestamp	Gender	Age	How extroverted are you?	How confident are you?	How individualistic are you?	How organized are you?	How dominant are you?	How impulsive are you?	How libidinous are you?	How ambitious are you?	How altruistic are you?	Sexual orientation	How courageous are you?	Which are most awesome?	Which are most awesome?	Who is most awesome?	Which is most awesome?	Which are most awesome?	Which are most awesome?	Which is most awesome?	Which are most awesome?	Who is most awesome?	Which is most awesome?	How detail oriented are you?	
10/31/2014 17:53:39	Male	60		4	3		3	3	2	4	3	Straight		Werewolves	Wizards			Ninjas			Dwarves	Sherlock Holmes	Norse Mythology		
10/31/2014 18:03:01	Female	46		4	3		3	4	4	3	3	Straight		Vampires	Wizards	Superman		Cowboys	Warrior Princesses		Elves	King Arthur	Greek Mythology		
10/31/2014 18:21:03	Male	33		4	4		3	3	3	3	4	Straight		Zombies	Wizards	Batman		Ninjas	Warrior Princesses		Elves	Sherlock Holmes	Celtic Mythology		
10/31/2014 19:36:03	Male	30		4	4		3	3	3	3	5	Straight		Werewolves	Wizards	Batman		Ninjas	Witches		Elves	Sherlock Holmes	Norse Mythology		
10/31/2014 19:37:51	Male	44		5	5		5	3	3	3	3	Straight		Zombies	Knights	Superman		Cowboys	Warrior Princesses		Dwarves	Sherlock Holmes	Greek Mythology		
10/31/2014 19:43:38	Female	22		3	4		3	2	4	4	4	Straight		Werewolves	Wizards	Superman		Ninjas	Witches		Elves	Sherlock Holmes	Celtic Mythology		
10/31/2014 20:28:50	Female	27		4	5		2	3	5	4	3	Bisexual		Vampires	Wizards	Batman		Ninjas	Witches		Elves	Sherlock Holmes	Celtic Mythology		
10/31/2014 20:30:32	Female	27		3	4		3	2	1	5	2	Straight		Werewolves	Wizards	Superman		Ninjas	Warrior Princesses		Dwarves	Sherlock Holmes	Norse Mythology		
10/31/2014 20:58:42	Male	26		3	2		4	3	3	4	4	Straight		Vampires	Rogues	Batman		Ninjas	Witches		Dwarves	Sherlock Holmes	Norse Mythology		
11/1/2014 0:40:37	Female	33		3	1		4	3	4	2	3	Bisexual		Werewolves	Rogues	Batman		Pirates	Warrior Princesses		Elves	Sherlock Holmes	Greek Mythology		
11/1/2014 1:19:19	Female	29		4	3		3	3	4	5	4	Bisexual		Werewolves	Wizards	Batman		Pirates	Witches		Dwarves	Sherlock Holmes	Celtic Mythology		
11/1/2014 2:50:12	Female	22		4	4		4	3	3	5	4	Straight		Vampires	Rogues	Batman		Pirates	Warrior Princesses		Elves	Robin Hood	Celtic Mythology		
11/1/2014 7:30:13	Female	26		4	3		2	2	3	2	2	Straight		Vampires	Rogues	Batman		Pirates	Nymphs		Elves	Sherlock Holmes	Norse Mythology		
11/1/2014 9:08:11	Other	22		2	4		3	3	2	2	4	Other		Vampires	Rogues	Batman		Ninjas	Warrior Princesses		Elves	Robin Hood	Greek Mythology		
11/1/2014 10:10:52	Female	34		3	4		4	3	2	2	5	Straight		Werewolves	Wizards	Superman		Ninjas	Warrior Princesses		Elves	Sherlock Holmes	Celtic Mythology		
11/1/2014 10:26:26	Female	33		4	4		4	2	2	3	5	Straight		Vampires	Wizards	Superman		Pirates	Warrior Princesses		Elves	Robin Hood	Greek Mythology		
11/1/2014 10:33:15	Female	29		4	2		3	3	4	4	3	Straight		Vampires	Knights	Superman		Cowboys	Warrior Princesses		Elves	Robin Hood	Celtic Mythology		
11/1/2014 10:40:00	Female	36		3	4		3	3	4	4	4	Straight		Vampires	Wizards	Batman		Pirates	Warrior Princesses		Dwarves	Sherlock Holmes	Norse Mythology		
11/1/2014 10:46:38	Female	33		4	4		3	4	4	5	3	Straight		Werewolves	Wizards	Superman		Ninjas	Warrior Princesses		Elves	King Arthur	Greek Mythology		
11/1/2014 11:02:26	Male	22		5	4		3	4	5	4	4	Straight		Werewolves	Wizards	Superman		Ninjas	Warrior Princesses		Elves	Robin Hood	Norse Mythology		
11/1/2014 11:24:54	Female	23		4	3		4	5	5	3	3	Bisexual		Vampires	Wizards	Superman		Ninjas	Nymphs		Elves	Robin Hood	Greek Mythology		
11/1/2014 11:48:16	Male	30		4	5		3	2	5	3	4	Straight		Vampires	Wizards	Batman		Ninjas	Witches		Elves	Sherlock Holmes	Greek Mythology		
11/1/2014 12:12:37	Male	38		2	2		3	1	5	3	3	Straight		Zombies	Knights	Batman		Ninjas	Witches		Dwarves	King Arthur	Greek Mythology		
