"CSA_AA.Entire_Root_.Mexican_Pop._1." "CSA_AB.Entire_Root_.Mexican_Pop._2." "CSA_AC.Entire_Root_.Mexican_Pop._3." "CSA_AD.Entire_Petioles_.Mexican_Pop._1." "CSA_AF.Buds_.Mexican_Pop._1." "CSA_AG.Buds_.Mexican_Pop._3." "CSA_AH.Mature_Flower_.Mexican_Pop._1." "CSA_AI.Mature_Flower_.Mexican_Pop._2." "CSA_AJ.Mature_Flower_.Mexican_Pop._3." "CSA_AK.Young_Leaf_.Mexican_Pop._1." "CSA_AL.Young_Leaf_.Mexican_Pop._2." "CSA_AM.Young_Leaf_.Mexican_Pop._3." "CSA_AN.Mature_Leaf_.Mexican_Pop._2." "CSA_AO.Entire_Primary_Stem_.Mexican_Pop._3." "CSA_AP.Buds_.Mexican_Pop._2." "CSA_AQ.Mature_Leaf_.Mexican_Pop._1." "CSA_AR.Mature_Leaf_.Mexican_Pop._3."
"10108_iso_1_len_1180_ver_2" 18.03 18.35 14.43 30.7 36.43 20.99 31.16 31.73 30.85 24.09 30.42 29.21 27.44 39.55 29.73 33.1 36.49
"1010_iso_7_len_1849_ver_2" 64.28 62.43 54.4 64.78 32.36 35.44 37.49 33.18 40.37 43.69 46.9 44.82 46.75 75.85 37.75 46.02 47.79
"10113_iso_1_len_672_ver_2" 0 0 0 2.29 3.56 0 4.6 3.09 5.39 3.43 18.95 7.07 5.82 2.06 3.45 8.55 10.2
"10114_iso_1_len_2925_ver_2" 11.72 11.35 11.46 12.17 10.48 5.7 11.87 11.7 10.24 7.69 7.55 9.82 9.37 12.01 11.53 8.8 7.45
"10115_iso_3_len_337_ver_2" 0 0 0 4.27 63.68 18.89 54.44 34.88 155.1 401.15 627.59 306.4 536.77 0 32.65 877.41 514.94
"10116_iso_4_len_3742_ver_2" 13.05 10.06 11.47 15.58 15.23 6.35 19.51 21.59 12.41 7.58 6.97 8.12 9.16 15.26 16.96 9.95 7.08
"10117_iso_3_len_1905_ver_2" 25.42 26.17 23.47 38.28 38.19 25.99 42.83 43.73 36.85 27.26 29.27 25.22 24.34 48.45 43.67 21.95 20.64
"10118_iso_1_len_1719_ver_2" 2.13 2.98 3.33 23.64 11.13 6.03 14.18 11.88 10.92 16.79 35.18 24.76 39.34 10.02 7.83 21.69 18.24
"10119_iso_1_len_1972_ver_2" 10.03 9.71 10.53 11.13 2.8 1.26 3.33 1.99 3.55 5.39 12.97 8.76 10.14 6.6 1.7 7.02 5.89
"1011_iso_8_len_1733_ver_2" 110.87 101.42 126.46 104.17 100.09 95.25 173.64 174.07 88.01 123.86 82.34 142.93 100.33 62.48 62.9 56.46 67.82
"10121_iso_8_len_1847_ver_2" 6.99 7.26 7.36 13.77 4.14 2.41 3.64 3.94 2.75 3.34 6.28 7.41 5.18 9.11 5.05 2.25 5.36
"10122_iso_4_len_2382_ver_2" 44.41 39.99 45.64 40.4 23.2 24.33 45.84 46.97 28.84 42.45 29.49 47.51 40.18 38.39 34.85 25.29 21.58
"10123_iso_3_len_1105_ver_2" 55.23 57.7 66.92 31.43 63.59 50.21 71.81 58.16 45.23 41.97 49.37 38.42 53.53 39.25 37.63 50.27 45.52
